#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:25:50.354304635Z,0.525,0.878,0.119
,,0,2026-08-22T20:25:51.354065678Z,0.746,0.621,-0.079
,,0,2026-08-22T20:25:52.356437251Z,0.756,-0.335,0.385
,,0,2026-08-22T20:25:53.358599504Z,0.266,-0.351,0.907
,,0,2026-08-22T20:25:54.36107487Z,0.556,0.794,-0.18
,,0,2026-08-22T20:25:55.370216906Z,0.965,-0.059,0.115
,,0,2026-08-22T20:25:56.374906171Z,-0.06,-0.209,1.083
,,0,2026-08-22T20:25:57.379337764Z,-0.34,-0.39,0.751
,,0,2026-08-22T20:25:58.383455964Z,-0.335,-0.546,0.946
,,0,2026-08-22T20:25:59.389237473Z,-0.242,0.643,0.667
,,0,2026-08-22T20:26:00.393652406Z,-0.662,0.606,0.361
,,0,2026-08-22T20:26:01.398142328Z,-0.532,0.718,0.368
,,0,2026-08-22T20:26:02.40283081Z,-0.617,0.614,0.488
,,0,2026-08-22T20:26:03.408950883Z,-0.221,-0.458,0.834
,,0,2026-08-22T20:26:04.413192927Z,-0.052,-0.977,0.354
,,0,2026-08-22T20:26:05.419900153Z,0.631,-0.642,0.157
,,0,2026-08-22T20:26:06.415658089Z,-0.014,-0.6,0.783
,,0,2026-08-22T20:26:07.418634517Z,-0.192,0.4,0.74
,,0,2026-08-22T20:26:08.42093606Z,0.034,0.154,1.011
,,0,2026-08-22T20:26:09.42326624Z,-0.299,-0.066,0.999
,,0,2026-08-22T20:26:10.425708538Z,-0.807,0.103,0.61
,,0,2026-08-22T20:26:11.428444819Z,-0.371,0.701,0.545
,,0,2026-08-22T20:26:12.43075821Z,0.693,0.173,0.642
,,0,2026-08-22T20:26:13.433556117Z,-0.031,0.829,0.455
,,0,2026-08-22T20:26:14.43607552Z,-1.031,0.396,-0.006
,,0,2026-08-22T20:26:15.444873084Z,0.123,0.466,0.858
,,0,2026-08-22T20:26:16.445087382Z,0.423,0.607,0.626
,,0,2026-08-22T20:26:17.447307205Z,0.134,0.869,0.383
,,0,2026-08-22T20:26:18.458172085Z,0.546,0.799,0.273
,,0,2026-08-22T20:26:19.456035344Z,0.107,0.946,0.404
,,0,2026-08-22T20:26:20.458415484Z,-0.128,0.996,-0.009
,,0,2026-08-22T20:26:21.46582379Z,0.354,-0.48,0.776
,,0,2026-08-22T20:26:22.47090493Z,-0.333,0.316,0.912
,,0,2026-08-22T20:26:23.476752932Z,-0.346,0.918,0.144
,,0,2026-08-22T20:26:24.480968549Z,0.57,0.776,0.075
,,0,2026-08-22T20:26:25.48574333Z,-0.214,0.671,0.74
,,0,2026-08-22T20:26:26.490108942Z,0.077,0.952,-0.395
,,0,2026-08-22T20:26:27.495754703Z,0.746,0.487,-0.168
,,0,2026-08-22T20:26:28.500264068Z,0.956,-0.13,0.243
,,0,2026-08-22T20:26:29.505200304Z,0.716,-0.481,0.43
,,0,2026-08-22T20:26:30.510178769Z,0.94,0.161,0.21
,,0,2026-08-22T20:26:31.517181016Z,0.783,-0.349,-0.52
,,0,2026-08-22T20:26:32.522878816Z,0.169,-0.805,-0.562
,,0,2026-08-22T20:26:33.527355019Z,-0.267,-0.908,-0.443
,,0,2026-08-22T20:26:34.533418272Z,0.011,-0.191,0.972
,,0,2026-08-22T20:26:35.538064431Z,0.55,-0.452,0.613
,,0,2026-08-22T20:26:36.542754931Z,0.58,-0.769,-0.149
,,0,2026-08-22T20:26:37.546841395Z,-0.297,-0.97,-0.047
,,0,2026-08-22T20:26:38.551551373Z,-0.904,-0.401,0.226
,,0,2026-08-22T20:26:39.557069899Z,-0.962,-0.058,0.361
,,0,2026-08-22T20:26:40.56131642Z,-0.878,-0.208,0.472
,,0,2026-08-22T20:26:41.565988108Z,0.23,-0.536,0.793
,,0,2026-08-22T20:26:42.572630412Z,-0.114,-0.068,0.974
,,0,2026-08-22T20:26:43.577029176Z,-0.126,0.284,0.922
,,0,2026-08-22T20:26:44.581511854Z,0.078,0.332,0.906
,,0,2026-08-22T20:26:45.58624883Z,-0.412,0.649,0.748
,,0,2026-08-22T20:26:46.590496306Z,-0.187,0.624,0.758
,,0,2026-08-22T20:26:47.596051245Z,0.216,0.117,1
,,0,2026-08-22T20:26:48.600553064Z,-0.242,0.121,0.933
,,0,2026-08-22T20:26:49.605771247Z,-0.333,0.407,0.823
,,0,2026-08-22T20:26:50.610200027Z,-0.477,0.459,0.732
,,0,2026-08-22T20:26:51.615522335Z,-0.294,0.32,0.886
,,0,2026-08-22T20:26:52.619989704Z,0.003,0.024,0.992
,,0,2026-08-22T20:26:53.624165624Z,0.488,0.63,0.515
,,0,2026-08-22T20:26:54.627899578Z,0.826,0.456,0.144
,,0,2026-08-22T20:26:55.631076551Z,0.441,0.703,0.412
,,0,2026-08-22T20:26:56.633425641Z,0.603,0.722,0.123
,,0,2026-08-22T20:26:57.636025214Z,0.908,0.28,-0.305
,,0,2026-08-22T20:26:58.638107398Z,0.126,-0.284,-0.943
,,0,2026-08-22T20:26:59.64688992Z,-0.032,0.246,-1.037
,,0,2026-08-22T20:27:00.645603908Z,-0.048,0.06,-0.999
,,0,2026-08-22T20:27:01.647791852Z,-0.015,0.96,0.321
,,0,2026-08-22T20:27:02.65021893Z,-0.047,0.451,0.864
,,0,2026-08-22T20:27:03.655346943Z,0.841,0.295,0.123
,,0,2026-08-22T20:27:04.657345562Z,0.301,-0.464,-0.798
,,0,2026-08-22T20:27:05.669313012Z,-0.02,0.099,-1.035
,,0,2026-08-22T20:27:06.664374504Z,0.175,0.987,0.072
,,0,2026-08-22T20:27:07.673930886Z,0.622,0.484,0.601
,,0,2026-08-22T20:27:08.672560027Z,0.307,-0.367,-0.988
,,0,2026-08-22T20:27:09.674875288Z,0.207,0.547,-0.768
,,0,2026-08-22T20:27:10.682320326Z,0.772,0.289,0.475
,,0,2026-08-22T20:27:11.687910723Z,0.816,-0.406,0.065
,,0,2026-08-22T20:27:12.692238171Z,0.324,0.321,0.873
,,0,2026-08-22T20:27:13.696707919Z,0.263,0.895,0.485
,,0,2026-08-22T20:27:14.701824292Z,0.421,0.62,0.578
,,0,2026-08-22T20:27:15.707671398Z,0.564,-0.288,0.622
,,0,2026-08-22T20:27:16.722077271Z,0.767,-0.012,-0.548
,,0,2026-08-22T20:27:17.712951406Z,0.119,0.058,-1.01
,,0,2026-08-22T20:27:18.71530114Z,0.778,0.016,-0.621
,,0,2026-08-22T20:27:19.718251517Z,0.731,0.014,0.625
,,0,2026-08-22T20:27:20.720599487Z,0.169,0.035,0.957
,,0,2026-08-22T20:27:21.722905336Z,-0.386,0.242,0.9
,,0,2026-08-22T20:27:22.730169595Z,-0.755,0.167,0.662
,,0,2026-08-22T20:27:23.737766929Z,-0.952,0.221,0.304
,,0,2026-08-22T20:27:24.743157165Z,-0.528,0.905,0.109
,,0,2026-08-22T20:27:25.748104213Z,0.012,1,0.111
,,0,2026-08-22T20:27:26.75187594Z,-0.131,0.995,0.026
,,0,2026-08-22T20:27:27.757085664Z,-0.046,0.664,0.687
,,0,2026-08-22T20:27:28.762790811Z,-0.009,-0.06,0.98
,,0,2026-08-22T20:27:29.770200247Z,0.618,-0.549,0.453
,,0,2026-08-22T20:27:30.776719708Z,0.713,-0.035,0.604
,,0,2026-08-22T20:27:31.786496316Z,-0.046,0.2,0.927
,,0,2026-08-22T20:27:32.789813094Z,0.246,0.566,0.76
,,0,2026-08-22T20:27:33.790818739Z,0.481,0.138,0.864
,,0,2026-08-22T20:27:34.792149051Z,0.415,-0.234,0.809
,,0,2026-08-22T20:27:35.795075728Z,0.46,-0.517,0.671
,,0,2026-08-22T20:27:36.80131981Z,0.695,-0.465,0.466
,,0,2026-08-22T20:27:37.809153128Z,0.555,-0.505,0.615
,,0,2026-08-22T20:27:38.817490129Z,0.527,0.134,0.753
,,0,2026-08-22T20:27:39.813156548Z,0.826,0.123,0.47
,,0,2026-08-22T20:27:40.815383773Z,0.4,-0.303,0.889
,,0,2026-08-22T20:27:41.817726485Z,0.946,-0.341,0.37
,,0,2026-08-22T20:27:42.820118813Z,0.476,-0.285,0.858
,,0,2026-08-22T20:27:43.822937344Z,0.447,-0.405,0.733
,,0,2026-08-22T20:27:44.830572715Z,0.027,-0.111,0.928
,,0,2026-08-22T20:27:45.836551828Z,0.744,0.301,0.452
,,0,2026-08-22T20:27:46.843089067Z,0.456,0.381,0.638
,,0,2026-08-22T20:27:47.847200063Z,0.231,-0.801,0.25
,,0,2026-08-22T20:27:48.851402861Z,0.573,-0.36,0.742
,,0,2026-08-22T20:27:49.855918622Z,0.808,0.297,0.403
,,0,2026-08-22T20:27:50.860571443Z,0.232,-0.668,0.816
,,0,2026-08-22T20:27:51.866612485Z,0.636,-0.196,0.64
,,0,2026-08-22T20:27:52.871079176Z,0.705,0.454,0.476
,,0,2026-08-22T20:27:53.870359028Z,0.289,-0.568,0.8
,,0,2026-08-22T20:27:54.87589023Z,0.572,-0.237,0.794
,,0,2026-08-22T20:27:55.883427456Z,0.419,0.506,0.739
,,0,2026-08-22T20:27:56.884170708Z,0.759,0.494,0.323
,,0,2026-08-22T20:27:57.886875243Z,0.036,-0.92,0.934
,,0,2026-08-22T20:27:58.89673363Z,0.492,-0.028,0.795
,,0,2026-08-22T20:27:59.894845841Z,0.707,0.278,0.507
,,0,2026-08-22T20:28:00.897101165Z,0.281,-0.83,0.576
,,0,2026-08-22T20:28:01.899999927Z,0.79,0.321,0.4
,,0,2026-08-22T20:28:02.902861604Z,0.424,0.228,0.805
,,0,2026-08-22T20:28:03.90519065Z,0.705,-0.143,0.738
,,0,2026-08-22T20:28:04.91429948Z,0.154,-0.573,0.68
,,0,2026-08-22T20:28:05.917630205Z,0.302,-0.937,0.166
,,0,2026-08-22T20:28:06.923080711Z,0.401,-0.95,0.491
,,0,2026-08-22T20:28:07.922593856Z,0.63,0.415,0.568
,,0,2026-08-22T20:28:08.924744364Z,0.097,0.594,0.764
,,0,2026-08-22T20:28:09.927190632Z,-0.073,0.362,0.943
,,0,2026-08-22T20:28:10.929640426Z,-0.067,0.581,0.93
,,0,2026-08-22T20:28:11.93301706Z,-0.466,0.402,0.745
,,0,2026-08-22T20:28:12.940461159Z,0.727,0.69,0.289
,,0,2026-08-22T20:28:13.944589366Z,-0.149,-0.748,0.625
,,0,2026-08-22T20:28:14.949061628Z,0.848,-0.032,0.421
,,0,2026-08-22T20:28:15.954863057Z,0.399,-0.588,0.639
,,0,2026-08-22T20:28:16.956480387Z,-0.685,-0.448,0.571
,,0,2026-08-22T20:28:17.958024669Z,0.439,0.247,0.77

