#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:19:14.239162577Z,-0.033,0.004,0.988
,,0,2026-08-22T20:19:15.239844956Z,-0.033,0.003,0.987
,,0,2026-08-22T20:19:16.244512512Z,-0.032,0.005,0.988
,,0,2026-08-22T20:19:17.252398005Z,-0.033,0.004,0.987
,,0,2026-08-22T20:19:18.254191968Z,-0.033,0.004,0.985
,,0,2026-08-22T20:19:19.254231011Z,-0.032,0.004,0.987
,,0,2026-08-22T20:19:20.262329166Z,-0.035,0.003,0.989
,,0,2026-08-22T20:19:21.262456004Z,-0.034,0.003,0.988
,,0,2026-08-22T20:19:22.264572717Z,-0.034,0.004,0.986
,,0,2026-08-22T20:19:23.267034069Z,-0.034,0.004,0.987
,,0,2026-08-22T20:19:24.278317792Z,-0.032,0.005,0.986
,,0,2026-08-22T20:19:25.283785013Z,-0.032,0.004,0.989
,,0,2026-08-22T20:19:26.28992881Z,-0.035,0.003,0.988
,,0,2026-08-22T20:19:27.287343343Z,-0.034,0.005,0.989
,,0,2026-08-22T20:19:28.29031783Z,-0.034,0.004,0.988
,,0,2026-08-22T20:19:29.29250928Z,-0.033,0.003,0.988
,,0,2026-08-22T20:19:30.294595639Z,-0.034,0.003,0.988
,,0,2026-08-22T20:19:31.296981158Z,-0.034,0.004,0.987
,,0,2026-08-22T20:19:32.306877895Z,-0.033,0.005,0.989
,,0,2026-08-22T20:19:33.310589694Z,-0.033,0.004,0.99
,,0,2026-08-22T20:19:34.316293314Z,-0.033,0.003,0.989
,,0,2026-08-22T20:19:35.321643978Z,-0.033,0.005,0.986
,,0,2026-08-22T20:19:36.32825487Z,-0.034,0.003,0.987
,,0,2026-08-22T20:19:37.331574917Z,-0.034,0.003,0.987
,,0,2026-08-22T20:19:38.337726005Z,-0.032,0.004,0.988
,,0,2026-08-22T20:19:39.341205769Z,-0.034,0.004,0.989
,,0,2026-08-22T20:19:40.347876694Z,-0.035,0.004,0.987
,,0,2026-08-22T20:19:41.352054588Z,-0.033,0.004,0.989
,,0,2026-08-22T20:19:42.356354163Z,-0.034,0.003,0.987
,,0,2026-08-22T20:19:43.360793844Z,-0.034,0.004,0.987
,,0,2026-08-22T20:19:44.366402885Z,-0.034,0.003,0.989
,,0,2026-08-22T20:19:45.370908879Z,-0.032,0.004,0.989
,,0,2026-08-22T20:19:46.375203987Z,-0.033,0.004,0.99
,,0,2026-08-22T20:19:47.375103907Z,-0.035,0.004,0.985
,,0,2026-08-22T20:19:48.378486907Z,-0.033,0.004,0.987
,,0,2026-08-22T20:19:49.380414256Z,-0.033,0.004,0.986
,,0,2026-08-22T20:19:50.382837296Z,-0.033,0.005,0.987
,,0,2026-08-22T20:19:51.390515723Z,-0.033,0.004,0.986
,,0,2026-08-22T20:19:52.390298029Z,-0.034,0.003,0.985
,,0,2026-08-22T20:19:53.392572365Z,-0.034,0.004,0.989
,,0,2026-08-22T20:19:54.397755499Z,-0.032,0.003,0.986
,,0,2026-08-22T20:19:55.399003617Z,-0.032,0.005,0.987
,,0,2026-08-22T20:19:56.402495585Z,-0.032,0.005,0.989
,,0,2026-08-22T20:19:57.409913383Z,-0.033,0.004,0.985
,,0,2026-08-22T20:19:58.419973225Z,-0.033,0.005,0.987
,,0,2026-08-22T20:19:59.423161994Z,-0.031,0.004,0.99
,,0,2026-08-22T20:20:00.428486542Z,-0.035,0.004,0.988
,,0,2026-08-22T20:20:01.433915142Z,-0.033,0.005,0.988
,,0,2026-08-22T20:20:02.438156751Z,-0.033,0.005,0.988
,,0,2026-08-22T20:20:03.43836629Z,-0.033,0.004,0.989
,,0,2026-08-22T20:20:04.441764416Z,-0.034,0.004,0.989
,,0,2026-08-22T20:20:05.451465443Z,-0.035,0.003,0.989
,,0,2026-08-22T20:20:06.46059613Z,-0.035,0.003,0.986
,,0,2026-08-22T20:20:07.455254872Z,-0.033,0.005,0.99
,,0,2026-08-22T20:20:08.463529021Z,-0.034,0.003,0.987
,,0,2026-08-22T20:20:09.468110444Z,-0.034,0.004,0.986
,,0,2026-08-22T20:20:10.47409509Z,-0.034,0.004,0.988
,,0,2026-08-22T20:20:11.4799682Z,-0.033,0.004,0.99
