#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:14:06.17202957Z,-1.029,-0,-0.021
,,0,2026-08-22T20:14:07.172992201Z,-1.028,-0,-0.021
,,0,2026-08-22T20:14:08.175818379Z,-1.03,-0,-0.02
,,0,2026-08-22T20:14:09.178244697Z,-1.029,-0,-0.021
,,0,2026-08-22T20:14:10.183309405Z,-1.028,-0,-0.02
,,0,2026-08-22T20:14:11.184248395Z,-1.03,0.001,-0.021
,,0,2026-08-22T20:14:12.187419215Z,-1.029,-0,-0.021
,,0,2026-08-22T20:14:13.190051513Z,-1.029,0.001,-0.022
,,0,2026-08-22T20:14:14.192404205Z,-1.029,-0,-0.021
,,0,2026-08-22T20:14:15.201350029Z,-1.028,0,-0.022
,,0,2026-08-22T20:14:16.203044717Z,-1.029,-0,-0.021
,,0,2026-08-22T20:14:17.208094717Z,-1.029,0,-0.021
,,0,2026-08-22T20:14:18.212336722Z,-1.028,-0,-0.019
,,0,2026-08-22T20:14:19.214921241Z,-1.029,0.002,-0.023
,,0,2026-08-22T20:14:20.217278059Z,-1.028,0.001,-0.022
,,0,2026-08-22T20:14:21.219801775Z,-1.03,0.002,-0.022
,,0,2026-08-22T20:14:22.235499261Z,-1.028,0.001,-0.021
,,0,2026-08-22T20:14:23.238345867Z,-1.03,0.002,-0.023
,,0,2026-08-22T20:14:24.248326569Z,-1.029,0.001,-0.023
,,0,2026-08-22T20:14:25.252290463Z,-1.028,0.001,-0.022
,,0,2026-08-22T20:14:26.257681289Z,-1.03,-0,-0.021
,,0,2026-08-22T20:14:27.264211462Z,-1.029,0.001,-0.021
,,0,2026-08-22T20:14:28.270147502Z,-1.029,-0,-0.022
,,0,2026-08-22T20:14:29.273734447Z,-1.03,-0,-0.021
,,0,2026-08-22T20:14:30.278397131Z,-1.029,0.001,-0.022
,,0,2026-08-22T20:14:31.286468089Z,-1.028,0.001,-0.022
,,0,2026-08-22T20:14:32.292098529Z,-1.028,0.001,-0.022
,,0,2026-08-22T20:14:33.297552767Z,-1.029,-0,-0.021
,,0,2026-08-22T20:14:34.299647034Z,-1.028,-0,-0.021
,,0,2026-08-22T20:14:35.313155577Z,-1.028,-0,-0.022
,,0,2026-08-22T20:14:36.321441209Z,-1.03,-0,-0.021
,,0,2026-08-22T20:14:37.323511648Z,-1.029,0,-0.023
,,0,2026-08-22T20:14:38.33011364Z,-1.029,-0,-0.022
,,0,2026-08-22T20:14:39.331990242Z,-1.029,-0,-0.022
,,0,2026-08-22T20:14:40.334582537Z,-1.032,0.001,-0.021
,,0,2026-08-22T20:14:41.338949493Z,-1.001,0.001,-0.024
,,0,2026-08-22T20:14:42.341115903Z,-1.03,-0,-0.02
,,0,2026-08-22T20:14:43.342830952Z,-1.028,0.001,-0.022
,,0,2026-08-22T20:14:44.34569257Z,-1.03,0.001,-0.023
,,0,2026-08-22T20:14:45.348180787Z,-1.028,0.001,-0.023
,,0,2026-08-22T20:14:46.35064548Z,-1.03,-0,-0.021
,,0,2026-08-22T20:14:47.357621506Z,-1.03,0,-0.023
,,0,2026-08-22T20:14:48.362840435Z,-1.03,0.001,-0.022
,,0,2026-08-22T20:14:49.369138823Z,-1.028,0,-0.023
,,0,2026-08-22T20:14:50.372628425Z,-1.029,0,-0.023
,,0,2026-08-22T20:14:51.376856016Z,-1.029,-0,-0.022
,,0,2026-08-22T20:14:52.376736387Z,-1.03,0,-0.023
,,0,2026-08-22T20:14:53.379074229Z,-1.029,0,-0.024
,,0,2026-08-22T20:14:54.39531596Z,-1.031,-0,-0.024
,,0,2026-08-22T20:14:55.400257949Z,-1.029,0.002,-0.023
,,0,2026-08-22T20:14:56.399798881Z,-1.028,0.001,-0.023
,,0,2026-08-22T20:14:57.402291695Z,-1.03,0,-0.022
,,0,2026-08-22T20:14:58.404467531Z,-1.029,0.001,-0.022
,,0,2026-08-22T20:14:59.406840299Z,-1.028,0.001,-0.022
,,0,2026-08-22T20:15:00.413282358Z,-1.028,0.002,-0.023
,,0,2026-08-22T20:15:01.419466475Z,-1.029,-0,-0.021
,,0,2026-08-22T20:15:02.424765132Z,-1.03,0.001,-0.022
,,0,2026-08-22T20:15:03.426105074Z,-1.03,0,-0.022
,,0,2026-08-22T20:15:04.429021496Z,-1.031,0,-0.026
,,0,2026-08-22T20:15:05.431326542Z,-1.029,0.001,-0.022
,,0,2026-08-22T20:15:06.4337518Z,-1.031,-0,-0.02
,,0,2026-08-22T20:15:07.441257078Z,-1.029,-0,-0.022
,,0,2026-08-22T20:15:08.444898358Z,-1.028,-0,-0.022
,,0,2026-08-22T20:15:09.448348767Z,-1.029,-0,-0.023
,,0,2026-08-22T20:15:10.454705264Z,-1.03,-0,-0.021
,,0,2026-08-22T20:15:11.45970937Z,-1.029,0.002,-0.023
,,0,2026-08-22T20:15:12.464506883Z,-1.031,0,-0.021
,,0,2026-08-22T20:15:13.467100995Z,-1.03,-0,-0.023
