#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:29:34.104501335Z,-0.012,0.037,0.985
,,0,2026-08-22T20:29:35.112845857Z,-0.045,0.052,0.97
,,0,2026-08-22T20:29:36.117280088Z,-0.05,0.046,0.973
,,0,2026-08-22T20:29:37.122089687Z,-0.016,0.052,0.966
,,0,2026-08-22T20:29:38.125583298Z,-0.016,0.035,0.987
,,0,2026-08-22T20:29:39.131101099Z,-0.012,0.036,0.987
,,0,2026-08-22T20:29:40.136204154Z,-0.057,0.044,0.981
,,0,2026-08-22T20:29:41.141875814Z,-0.015,0.037,0.984
,,0,2026-08-22T20:29:42.146663868Z,-0.045,0.053,0.968
,,0,2026-08-22T20:29:43.151445075Z,0.019,0.038,0.977
,,0,2026-08-22T20:29:44.154727278Z,-0.015,0.036,0.986
,,0,2026-08-22T20:29:45.159532606Z,-0.013,0.029,0.986
,,0,2026-08-22T20:29:46.159217962Z,-0.033,0.053,0.961
,,0,2026-08-22T20:29:47.162199502Z,-0.014,0.037,0.989
,,0,2026-08-22T20:29:48.164791128Z,-0.044,0.037,0.992
,,0,2026-08-22T20:29:49.166880307Z,0.017,0.02,1.001
,,0,2026-08-22T20:29:50.169252467Z,-0.016,0.036,0.987
,,0,2026-08-22T20:29:51.179025661Z,-0.018,0.034,0.997
,,0,2026-08-22T20:29:52.184114837Z,0.015,0.036,0.981
,,0,2026-08-22T20:29:53.189316572Z,-0.013,0.036,0.985
,,0,2026-08-22T20:29:54.193235151Z,-0.047,0.05,0.967
,,0,2026-08-22T20:29:55.198960109Z,-0.013,0.01,0.985
,,0,2026-08-22T20:29:56.20352752Z,-0.003,0.047,0.966
,,0,2026-08-22T20:29:57.209260229Z,-0.015,0.037,0.987
,,0,2026-08-22T20:29:58.214483009Z,-0.016,0.037,0.988
,,0,2026-08-22T20:29:59.21908188Z,-0.016,0.036,0.985
,,0,2026-08-22T20:30:00.225422186Z,-0.014,0.038,0.985
,,0,2026-08-22T20:30:01.228694555Z,-0.014,0.038,0.985
,,0,2026-08-22T20:30:02.234078353Z,-0.042,0.053,0.97
,,0,2026-08-22T20:30:03.24113881Z,-0.015,0.036,0.985
,,0,2026-08-22T20:30:04.244642524Z,-0.037,0.049,0.966
,,0,2026-08-22T20:30:05.250880452Z,-0.01,0.017,1.001
,,0,2026-08-22T20:30:06.255809946Z,-0.014,0.034,0.986
,,0,2026-08-22T20:30:07.262554967Z,-0.039,0.032,0.992
,,0,2026-08-22T20:30:08.268401121Z,0.012,0.028,0.989
,,0,2026-08-22T20:30:09.272572219Z,-0.017,0.036,0.988
,,0,2026-08-22T20:30:10.277698971Z,0.01,0.041,0.984
,,0,2026-08-22T20:30:11.283332126Z,-0.014,0.034,0.986
,,0,2026-08-22T20:30:12.28879816Z,-0.014,0.036,0.986
,,0,2026-08-22T20:30:13.293418937Z,-0.013,0.021,1.004
,,0,2026-08-22T20:30:14.297099829Z,-0.01,-0.095,0.986
,,0,2026-08-22T20:30:15.304683561Z,-0.012,0.037,0.985
,,0,2026-08-22T20:30:16.309206282Z,-0.014,0.036,0.983
,,0,2026-08-22T20:30:17.308165461Z,-0.004,0.024,0.999
,,0,2026-08-22T20:30:18.310648229Z,-0.002,0.022,1
,,0,2026-08-22T20:30:19.313467329Z,-0.012,0.038,0.986
,,0,2026-08-22T20:30:20.315751796Z,0.01,0.039,0.984
,,0,2026-08-22T20:30:21.318119618Z,0.001,0.035,0.987
,,0,2026-08-22T20:30:22.325333875Z,-0.013,0.038,0.993
,,0,2026-08-22T20:30:23.331577988Z,-0.014,0.037,0.986
,,0,2026-08-22T20:30:24.336231228Z,-0.013,0.024,1.004
,,0,2026-08-22T20:30:25.340809159Z,-0.001,0.03,0.959
,,0,2026-08-22T20:30:26.346505612Z,-0.015,0.039,0.985
,,0,2026-08-22T20:30:27.351206181Z,-0.013,0.035,0.987
,,0,2026-08-22T20:30:28.355807405Z,-0.014,0.016,0.984
